adt_pattern	gene_symbol	aliases	source
4-1BB	TNFRSF9		biolegend
B7-H4	VTCN1		biolegend
BAFF	TNFSF13B		biolegend
BAFF-R	TNFRSF13C		biolegend
BCMA	TNFRSF17		biolegend
BTLA	BTLA		biolegend
CCR2	CCR2		biolegend
CCR3	CCR3		biolegend
CCR4	CCR4		biolegend
CCR5	CCR5		biolegend
CCR6	CCR6		biolegend
CCR7	CCR7		biolegend
CCR9	CCR9		biolegend
CCR10	CCR10		biolegend
CD1a	CD1A		biolegend
CD1c	CD1C		biolegend
CD1d	CD1D		biolegend
CD2	CD2		biolegend
CD3	CD3E	CD3D;CD3G	biolegend
CD3D	CD3D		biolegend
CD3E	CD3E		biolegend
CD3G	CD3G		biolegend
CD4	CD4		biolegend
CD4(RPA-T4)	CD4		biolegend
CD4(SK3)	CD4		biolegend
CD5	CD5		biolegend
CD7	CD7		biolegend
CD8	CD8A	CD8B	biolegend
CD8a	CD8A		biolegend
CD8b	CD8B		biolegend
CD9	CD9		biolegend
CD10	MME		biolegend
CD11a	ITGAL		biolegend
CD11b	ITGAM		biolegend
CD11c	ITGAX		biolegend
CD13	ANPEP		biolegend
CD14	CD14		biolegend
CD15	FUT4		biolegend
CD16	FCGR3A	FCGR3B	biolegend
CD18	ITGB2		biolegend
CD19	CD19		biolegend
CD20	MS4A1		biolegend
CD21	CR2		biolegend
CD22	CD22		biolegend
CD23	FCER2		biolegend
CD24	CD24		biolegend
CD25	IL2RA		biolegend
CD26	DPP4		biolegend
CD27	CD27		biolegend
CD28	CD28		biolegend
CD29	ITGB1		biolegend
CD30	TNFRSF8		biolegend
CD31	PECAM1		biolegend
CD32	FCGR2A	FCGR2B;FCGR2C	biolegend
CD33	CD33		biolegend
CD34	CD34		biolegend
CD35	CR1		biolegend
CD36	CD36		biolegend
CD38	CD38		biolegend
CD39	ENTPD1		biolegend
CD40	CD40		biolegend
CD41	ITGA2B		biolegend
CD42b	GP1BA		biolegend
CD43	SPN		biolegend
CD44	CD44		biolegend
CD45	PTPRC		biolegend
CD45RA	PTPRC		biolegend
CD45RB	PTPRC		biolegend
CD45RO	PTPRC		biolegend
CD47	CD47		biolegend
CD48	CD48		biolegend
CD49a	ITGA1		biolegend
CD49b	ITGA2		biolegend
CD49d	ITGA4		biolegend
CD49e	ITGA5		biolegend
CD49f	ITGA6		biolegend
CD50	ICAM3		biolegend
CD51	ITGAV		biolegend
CD52	CD52		biolegend
CD54	ICAM1		biolegend
CD55	CD55		biolegend
CD56	NCAM1		biolegend
CD57	B3GAT1		biolegend
CD57-Recombinant	B3GAT1		biolegend
CD58	CD58		biolegend
CD58-(LFA-3)	CD58		biolegend
CD61	ITGB3		biolegend
CD62L	SELL		biolegend
CD62P	SELP		biolegend
CD62P-(P-Selectin)	SELP		biolegend
CD63	CD63		biolegend
CD64	FCGR1A		biolegend
CD66a	CEACAM1		biolegend
CD66b	CEACAM8		biolegend
CD68	CD68		biolegend
CD69	CD69		biolegend
CD70	CD70		biolegend
CD71	TFRC		biolegend
CD73	NT5E		biolegend
CD73-(Ecto-5'-nucleotidase)	NT5E		biolegend
CD74	CD74		biolegend
CD79a	CD79A		biolegend
CD79b	CD79B		biolegend
CD79b-(Igbeta)	CD79B		biolegend
CD80	CD80		biolegend
CD81	CD81		biolegend
CD81-(TAPA-1)	CD81		biolegend
CD82	CD82		biolegend
CD83	CD83		biolegend
CD84	CD84		biolegend
CD85j	LILRB1		biolegend
CD85j-(ILT2)	LILRB1		biolegend
