Identifier	matchCounts
YDL248W	0
YDL247W-A	0
YDL247W	2
YDL246C	0
YDL245C	0
YDL244W	1
YDL243C	0
YDL242W	0
YDL241W	0
YDL240C-A	0
YDL240W	0
YDL239C	0
YDL238C	0
YDL237W	0
YDL236W	0
YDL235C	1
YDL234C	0
YDL233W	0
YDL232W	1
YDL231C	23
YDL230W	3
YDL229W	0
YDL228C	1
YDL227C	0
YDL226C	1
YDL225W	0
YDL224C	0
YDL223C	0
YDL222C	4
YDL221W	0
YDL220C	0
YDL219W	0
YDL218W	0
YDL217C	0
YDL216C	0
YDL215C	2
YDL214C	0
YDL213C	0
YDL212W	0
YDL211C	0
YDL210W	3
YDL209C	0
YDL208W	0
YDL207W	2
YDL206W	0
YDL205C	0
YDL204W	0
YDL203C	1
YDL202W	1
YDL201W	2
YDL200C	1
YDL199C	2
YDL198C	0
YDL197C	0
YDL196W	0
YDL195W	1
YDL194W	0
YDL193W	1
YDL192W	1
YDL191W	0
YDL190C	0
YDL189W	0
YDL188C	0
YDL187C	0
YDL186W	0
YDL185C-A	0
YDL185W	2
YDL184C	0
YDL183C	1
YDL182W	18
YDL181W	0
YDL180W	0
YDL179W	0
YDL178W	2
YDL177C	0
YDL176W	0
YDL175C	0
YDL174C	0
YDL173W	0
YDL172C	0
YDL171C	5
YDL170W	5
YDL169C	1
YDL168W	0
YDL167C	2
YDL166C	0
YDL165W	0
YDL164C	1
YDL163W	0
YDL162C	0
YDL161W	0
YDL160C-A	0
YDL160C	1
YDL159W-A	0
YDL159W	2
YDL159C-B	0
YDL158C	0
YDL157C	0
YDL156W	1
YDL155W	1
YDL154W	2
YDL153C	1
YDL152W	0
YDL151C	0
YDL150W	2
YDL149W	2
YDL148C	1
YDL147W	1
YDL146W	2
YDL145C	0
YDL144C	2
YDL143W	1
YDL142C	1
YDL141W	0
YDL140C	0
YDL139C	0
YDL138W	0
YDL137W	0
YDL136W	0
YDL135C	0
YDL134C	0
YDL133C-A	0
YDL133W	0
YDL132W	0
YDL131W	1
YDL130W-A	0
YDL130W	0
YDL129W	0
YDL128W	1
YDL127W	3
YDL126C	1
YDL125C	0
YDL124W	0
YDL123W	0
YDL122W	0
YDL121C	0
YDL120W	0
YDL119C	0
YDL118W	2
YDL117W	2
YDL116W	2
YDL115C	2
YDL114W-A	0
YDL114W	0
YDL113C	0
YDL112W	4
YDL111C	2
YDL110C	0
YDL109C	2
YDL108W	0
YDL107W	1
YDL106C	0
YDL105W	1
YDL104C	1
YDL103C	1
YDL102W	1
YDL101C	0
YDL100C	0
YDL099W	2
YDL098C	0
YDL097C	0
YDL096C	0
YDL095W	1
YDL094C	0
YDL093W	2
YDL092W	0
YDL091C	0
YDL090C	0
YDL089W	0
YDL088C	1
YDL087C	0
YDL086W	1
YDL086C-A	0
YDL085C-A	0
YDL085W	1
YDL084W	0
YDL083C	0
YDL082W	0
YDL081C	0
YDL080C	0
YDL079C	1
YDL078C	0
YDL077C	3
YDL076C	0
YDL075W	0
YDL074C	1
YDL073W	1
YDL072C	0
YDL071C	0
YDL070W	2
YDL069C	0
YDL068W	0
YDL067C	0
YDL066W	0
YDL065C	0
YDL064W	0
YDL063C	0
YDL062W	0
YDL061C	0
YDL060W	0
YDL059C	0
YDL058W	1
YDL057W	2
YDL056W	5
YDL055C	0
YDL054C	0
YDL053C	0
YDL052C	0
YDL051W	0
YDL050C	0
YDL049C	0
