gene_name	cluster_0	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	cluster_12	cluster_13	cluster_14
Xkr4	0	0	0	0	0	0	0	0	0	0	0.006831565598744675	0	0	0	0
Gm37180	0	0	0	0	0	0	0.055580973072031685	0	0	0	0	0	0	0	0
Gm38148	0	0	0	0	0	0	0	0	0	0	0.005078367415793877	0	0	0	0
Sox17	0.04987124228973195	0.09528668695551493	0.018275806785753662	0	0	0	0	0.7000702506269197	0	0	0	0.009052047362590522	0	0	0
Mrpl15	0.21818337920679848	0.34000140463934114	0.24491442877697672	0.2255871288916987	0.3496002515983525	0.458211651636792	0.4349949879470464	0.36763958144810893	0.037001918930897895	0.06203924078249377	0.12159865770219105	0.11024934326377217	0	0.12409008135995134	0.0971722525998443
Gm37144	1.013714870538478	1.1779770386837125	0.1749517884833208	0.0035965166800124293	0.9276976523250338	0.8551539943233342	0.13101150442688336	0	0.2463910285380527	0.49939990129548445	0.10136153442860849	0.09030133226829626	1.2575240614678524	0	0
Lypla1	0.4015312916576752	0.5849428471884892	0.22202404355391694	0.3675300426847884	0.5741663988294627	0.4258074614986597	0.3754804420969575	0.5860679597347471	0.3115274394308142	0.20266319093056837	0.15416736541584927	0.36323220890476304	0	0.06878443677484782	0.1806733018695174
Tcea1	0.4904769172634366	0.5024331278263033	0.48505654717988633	0.7021617582768805	0.3479999697211967	0.527517443185134	0.586010772700717	0.539361432497332	0.22646696143068148	0.71827641596602	0.5643351420982947	0.5585943342259346	0	0.1798565020772227	0.5040615137938244
Gm37277	0.025517807814740973	0	0	0	0	0	0.0030715578569814207	0	0	0	0	0	0	0	0
Rgs20	0.3161474866375924	0.21349631364847552	0	0.07103819804384925	0.10573517779724788	0.2752315355853072	0.06900830784060104	0	0	0	0.004251833628156363	0	0.8472628987903291	0	0
Gm37079	0	0	0	0	0	0	0.03778244958553707	0	0	0	0.004251833628156363	0	0	0	0
Atp6v1h	0.5639900975011641	0.5260889456028696	0.9115072646787412	1.2192530682503397	0.2557535291355866	0.7643271984095897	0.7312296291839763	0.7272040751215689	0.5982794195525966	0.25338656074772786	1.1769582561387262	1.603660393462857	0.936785343295313	0.23747914285667598	0.6970840418641631
Gm37567	0	0	0	0	0	0	0.0019408708333688114	0.0036444714415790613	0	0	0.009793452995657757	0.015742744006289205	0	0	0
Npbwr1	0	0	0	0	0	0	0.010411381547198784	0	0	0	0	0	0	0	0
Rb1cc1	0.711686065624894	0.6445137636701206	0.6075039842191257	0.6494809804823749	0.10419033694845417	0.515518691061125	0.8521486425153706	0.8140438292767802	1.1528812550294132	0.26621338282691326	0.7962004055876896	0.6915411994972687	0.3949805521125862	0.7570187852432965	1.18694470943381
St18	0	0	0	0.08265682563609711	0	0	0	0	0	0	0	0.04314557313443085	0	0	0
Pcmtd1	0.2296624262568173	0.33333969599848234	0.3699226945171659	0.2268701883769897	0.1095245292863471	0.49246294422958764	0.40272770069023883	0.4005423118473047	0.18093778987113818	0.6351982815301163	0.39183926809011815	0.1298897893916712	0.6269216807494105	0.7028322450065093	0.8529179798351616
Gm38372	0	0.007103967588469511	0	0	0	0	0	0	0	0	0	0.013741650997458409	0	0	0
Rrs1	0.46308849859301177	0.6371431134211638	0.48281669760899415	0.2780316434153007	0.21239776556027742	0.3561780361648944	0.46724108212290316	0.7107859721796675	0.03931980789080107	0.43975741069817403	0.7443104540133721	0.1258008436323176	0	0.061455717512946595	0
Adhfe1	0.022801890019770687	0	0.01477895812311646	0	0	0	0.0010608396733863066	0	0.007939845296286404	0	0.023817119847006657	0	0	0	0
Mybl1	0.04039615993076756	0.13727034072879218	0.007609807668820781	0	0	0	0.0012987412868248171	0.08479111987226551	0	0	0.0274201914794115	0	0	0	0
Vcpip1	0.5265696239196207	0.49002885673436636	0.3436399122894115	0.6094622734540384	0.6462944813566555	0.24668692611235463	0.37479265337682366	0.6668102321524495	0.42445345576844984	0.38813323606654976	0.3610089464321323	0.637928495522738	0	0.7140942150404861	0.28279220731545973
Sgk3	0.2792662409207804	0.25783707301569253	0.06951939774537275	0.28953372663702565	0.3519050146991983	0	0.4568731259701928	0.22872487420779292	0.13289340775754316	0.410881992437486	0.046309704244594206	0.45551016408207157	0	0	0.3767646272531738
Mcmdc2	0.0032376014493599413	0.016683597819427826	0	0.005430109542269655	0	0	0	0	0.012372933109777072	0	0.014836770579750608	0.03734465192514936	0	0	0
Tcf24	0.01400012506907976	0	0.040393454475068445	0	0	0	0.004018448453664146	0	0.011209673301707785	0	0.04739999670753075	0	0	0	0.27479098918416245
Ppp1r42	0	0	0	0	0	0	0	0.003335843867043461	0.018650806711935437	0	0	0	0	0	0
Cops5	0.44790290192351256	0.233648012708651	0.2901849534809827	0.3721351789724933	0.5145325775376532	0.3740316328696437	0.3151488545368447	0.2432878405900355	0.12271399405241279	0.07627264992089651	0.2396996353850892	0.1897835241131846	0.6424133373559077	0.6617979095059545	0.22337949952926311
