p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.3235296397667e-143	0.5223953576448279	0.912	0.842	5.6127768556380036e-139	0	Krt14
3.462660702388651e-126	0.6203456384847295	0.793	0.655	5.847741394193954e-122	0	Krt6a
8.055296210009362e-96	0.5676131578470835	0.756	0.674	1.360378423946381e-91	0	Krt16
2.458671689926257e-92	0.5399945377378677	0.762	0.634	4.1522047499474627e-88	0	Lgals7
1.6638867433802624e-62	0.5678360186013487	0.631	0.512	2.809971932220587e-58	0	Cstdc5
3.316374443720376e-61	0.4987974587579629	0.703	0.638	5.600693160554972e-57	0	Sfn
2.0525844849771661e-53	0.5404884934702787	0.623	0.522	3.466404678229438e-49	0	Krt5
2.178397831032922e-18	0.2855660016892756	0.651	0.653	3.678878257048399e-14	0	S100a6
1.5367139503516757e-14	0.4845453773921289	0.339	0.292	2.59520251935391e-10	0	Ly6d
1.1785283442655345e-13	0.264365025962241	0.63	0.662	1.990298667795635e-9	0	Actg1
5.8634844101972e-11	0.5102927816154517	0.317	0.281	9.90225247194103e-7	0	Ifi202b
4.3038041594227696e-10	0.42813770610992385	0.366	0.343	7.268264464433173e-6	0	Plet1
2.011879927343486e-9	0.6259774126205397	0.272	0.24	3.397662821297679e-5	0	CT010467.1
9.26543948300811e-9	0.2508804961735329	0.636	0.685	1.5647474198904096e-4	0	Rps12
1.365960078154298e-8	0.5028166754441412	0.316	0.293	2.3068333799869785e-4	0	Dmkn
7.67420343999491e-8	0.30516229440547704	0.54	0.586	0.0012960194769463403	0	Rps26
6.145015039087031e-7	0.4468012854807881	0.307	0.288	0.010377701398010178	0	Perp
7.492034841242074e-7	0.4586658141586559	0.345	0.341	0.012652548439889616	0	Odc1
1.8330583405422327e-6	0.2562740090311477	0.189	0.256	0.030956689255077226	0	Naca
2.191388963185941e-6	0.4360415099241388	0.315	0.3	0.03700817681028417	0	Serpinb2
3.92473277378839e-5	0.2987271533581213	0.463	0.5	0.6628088708373834	0	Rps2
6.644920242938676e-5	0.3582821626295054	0.423	0.455	1	0	Rpl12
9.789640486650184e-5	0.43262058448657026	0.378	0.399	1	0	Rps18
3.605072882827725e-4	0.2771457271783637	0.439	0.458	1	0	Mt2
7.275852948417644e-4	0.2636071671858806	0.373	0.375	1	0	Fabp5
0.0011269843001629881	0.2522805041811962	0.25	0.319	1	0	Eef1b2
0.002322666456895273	0.2563547919632123	0.27	0.341	1	0	Rpl21
0.004579731959280738	0.2763884354631516	0.242	0.304	1	0	Rpl7a
0.007082831779036576	0.3380843228155803	0.221	0.276	1	0	Uba52
0.007298047480296853	0.27307439206394424	0.441	0.479	1	0	Mt1
1.2055733368027596e-124	0.5159558683033199	0.924	0.843	2.0359722511925005e-120	1	Krt14
7.795522293817621e-98	0.7109690799190895	0.679	0.502	1.3165078049799199e-93	1	Cstdc5
2.6243681247789263e-88	0.5867550882719605	0.765	0.644	4.432032889126651e-84	1	Lgals7
1.531539541062425e-77	0.5132731893322626	0.78	0.672	2.5864639769462234e-73	1	Krt6a
2.886398048769736e-67	0.5383378363951801	0.721	0.636	4.87454902476233e-63	1	Sfn
6.719197193625449e-61	0.5485506594902771	0.649	0.519	1.1347380220594659e-56	1	Krt5
8.655947226442023e-58	0.4894182600588577	0.741	0.687	1.461816367601529e-53	1	Krt16
4.126261621169087e-25	0.805540239883578	0.255	0.177	6.968430625830354e-21	1	Stfa3
1.2569264365438243e-20	0.601393412875554	0.343	0.273	2.1226973660352106e-16	1	Ifi202b
1.4952675702722817e-17	0.42846912384588265	0.48	0.439	2.525207872675829e-13	1	Mt2
9.335933842873098e-16	0.49911609475993757	0.407	0.361	1.576652507384409e-11	1	Fabp5
2.7165110794361234e-14	0.2979986366662555	0.651	0.674	4.5876439109517254e-10	1	Rps12
6.728503522762315e-14	0.5548765578978774	0.33	0.28	1.1363096749240998e-9	1	Perp
4.091285036360407e-13	0.6002532557132274	0.277	0.228	6.909362169405455e-9	1	Krt6b
1.6932821184314048e-12	0.5804937306043114	0.285	0.237	2.8596148416069566e-8	1	CT010467.1
6.2176575465067e-11	0.4845307448261389	0.376	0.341	1.0500380064540515e-6	1	Plet1
1.7165658870952834e-10	0.48503526507116046	0.338	0.296	2.8989364701265144e-6	1	Ly6d
2.6484584758018475e-10	0.48901667857250564	0.332	0.295	4.47271667393416e-6	1	Serpinb2
1.8906831528431568e-9	0.5330028684844912	0.322	0.292	3.192985708521523e-5	1	Dmkn
7.349689661712592e-9	0.3259437595514205	0.544	0.577	1.2412155900700227e-4	1	Rps27a
7.792909438906885e-9	0.3575191784116676	0.478	0.49	1.3160665460425948e-4	1	Rps2
6.904385734168293e-8	0.28247834812876604	0.551	0.592	0.0011660126627863413	1	Rplp0
8.225729724491243e-8	0.3633305185953981	0.524	0.559	0.001389161235872081	1	Rps3a1
1.0847339103063492e-7	0.31094407359910115	0.544	0.581	0.0018318986277253623	1	Rps26
1.9730119299388716e-7	0.4334149312737967	0.432	0.448	0.0033320225472807663	1	Rpl12
1.246611564720551e-5	0.39902825629462324	0.387	0.393	0.21052776105000665	1	Rps18
5.002025264830208e-5	0.35571140728598216	0.408	0.416	0.8447420267245255	1	S100a11
3.354711433010975e-4	0.45359213654763186	0.328	0.334	1	1	Txn1
0.00041649966479510115	0.27815020637381593	0.452	0.472	1	1	Mt1
