Identifier	seqid	gene_id	strand	start	end	width	gc	isPresent	log2 Ratio	pValue	fdr	wt_1 [normalized count]	wt_2 [normalized count]	mut_1 [normalized count]	mut_2 [normalized count]	wt_1 [FPKM]	wt_2 [FPKM]	mut_1 [FPKM]	mut_2 [FPKM]
YDL182W	IV	YDL182W	+	133437	134723	1287	0.4413	TRUE	1.61	0.001394	0.08921	6.165	2.922	14.04	13.95	978.8	472.2	2276	2246
YDR379W	IV	YDR379W	+	1230167	1233196	3030	0.3835	TRUE	1.448	0.005156	0.1208	4.11	4.87	11.03	13.95	277.2	334.3	759.5	953.9
YNL236W	XIV	YNL236W	+	206930	209854	2925	0.3679	TRUE	-1.329	0.005664	0.1208	18.5	9.74	8.02	2.99	1292	692.6	572.2	211.7
YAL002W	I	YAL002W	+	143707	147531	3825	0.3718	TRUE	1.622	0.007741	0.1239	3.083	2.922	8.02	10.96	164.7	158.9	437.6	593.7
YPL180W	XVI	YPL180W	+	205248	207647	2400	0.3954	TRUE	-1.301	0.009948	0.1273	12.33	12.66	1.003	8.97	1050	1097	87.17	774.2
YGR100W	VII	YGR100W	+	690245	693097	2853	0.3824	TRUE	1.08	0.01261	0.1345	6.165	8.766	12.03	19.93	441.5	639.1	879.9	1447
YAL038W	I	YAL038W	+	71786	73288	1503	0.4617	TRUE	1.331	0.02533	0.2316	4.11	2.922	11.03	6.976	558.8	404.4	1531	961.5
YLR099W-A	XII	YLR099W-A	+	341325	341588	264	0.5227	TRUE	0.8648	0.03582	0.2866	7.193	10.71	12.03	20.93	5567	8441	9509	16420
YDR365C	IV	YDR365C	-	1204497	1206383	1887	0.3789	TRUE	0.9832	0.0534	0.3204	5.138	5.844	13.03	8.97	556.3	644.2	1441	984.6
YOL123W	XV	YOL123W	+	87844	89448	1605	0.4131	TRUE	1.164	0.05744	0.3204	2.055	4.87	11.03	4.983	261.6	631.1	1434	643.1
YNL026W	XIV	YNL026W	+	581920	583374	1455	0.3814	TRUE	-0.7307	0.06276	0.3204	15.41	19.48	15.04	5.98	2164	2785	2157	851.3
YGR166W	VII	YGR166W	+	830515	832197	1683	0.3648	TRUE	0.8368	0.06306	0.3204	5.138	9.74	13.03	13.95	623.7	1204	1616	1717
YBR149W	II	YBR149W	+	539987	541021	1035	0.4145	TRUE	-0.983	0.06508	0.3204	11.3	8.766	4.01	5.98	2231	1762	808.5	1197
YLR313C	XII	YLR313C	-	760750	762342	1593	0.3861	TRUE	0.8105	0.09387	0.3959	5.138	7.792	11.03	11.96	659	1017	1445	1555
YOR023C	XV	YOR023C	-	376012	377712	1701	0.4256	TRUE	0.8105	0.09388	0.3959	8.22	4.87	13.03	9.966	987.4	595.5	1599	1214
