transcript_id	gene_id	gene_name	type	strand	seqid	start	end	biotypes	gc	featWidth	description	GO BP	GO CC	GO MF
ETS1-1_rRNA	ETS1-1		rRNA	-	XII	457733	458432	rRNA	0.4186	700	Non-coding region located immediately upstream of RDN18; transcribed as part of the 35S rRNA precursor transcript; contains an essential U3 snoRNA binding site required for maturation of 18S rRNA [Source:SGD;Acc:S000029717]			
ETS1-2_rRNA	ETS1-2		rRNA	-	XII	466870	467569	rRNA	0.4186	700	Non-coding region located immediately upstream of RDN18; transcribed as part of the 35S rRNA precursor transcript; contains an essential U3 snoRNA binding site required for maturation of 18S rRNA [Source:SGD;Acc:S000029707]			
ETS2-1_rRNA	ETS2-1		rRNA	-	XII	451575	451785	rRNA	0.3175	211	Non-coding region located adjacent to and downstream of RDN25; transcribed as part of the 35S rRNA precursor transcript; contains the primary rRNA transcription termination site at +93 and a secondary termination site between +211 and +250 [Source:SGD;Acc:S000029718]			
ETS2-2_rRNA	ETS2-2		rRNA	-	XII	460712	460922	rRNA	0.3175	211	Non-coding region located adjacent to RDN25; transcribed as part of the 35S rRNA precursor transcript; contains the primary rRNA transcription termination site at +93 and a secondary termination site between +211 and +250 [Source:SGD;Acc:S000029713]			
HRA1_ncRNA	HRA1		short_noncoding	+	I	99305	99868	ncRNA	0.422	564	Non-protein-coding RNA; substrate of RNase P, possibly involved in rRNA processing, specifically maturation of 20S precursor into the mature 18S rRNA [Source:SGD;Acc:S000119380]			
ICR1_ncRNA	ICR1		short_noncoding	-	IX	393884	397082	ncRNA	0.3886	3199	Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11, repressing FLO11 transcription in cis [Source:SGD;Acc:S000132612]			
IRT1_ncRNA	IRT1		short_noncoding	-	X	605936	607424	ncRNA	0.3936	1489	Long noncoding RNA that governs mating-type control of gametogenesis; located in the IME1 promoter; in haploids, expression of IME1, the central inducer of gametogenesis, is inhibited in cis by transcription of IRT1, which recruits the Set2p histone methyltransferase and the Set3p histone deacetylase complex to establish repressive chromatin at the IME1 promoter [Source:SGD;Acc:S000178119]			
ITS1-1_rRNA	ITS1-1		rRNA	-	XII	455572	455932	rRNA	0.3601	361	Non-coding region between RDN58 and RDN18; transcribed as part of the 35S rRNA precursor transcript; excision during transcript maturation is coupled with processing of the 3' external transcribed spacer (3'ETS) [Source:SGD;Acc:S000029715]			
ITS1-2_rRNA	ITS1-2		rRNA	-	XII	464709	465069	rRNA	0.3601	361	Non-coding region between RDN58 and RDN18; transcribed as part of the 35S rRNA precursor transcript; excision during transcript maturation is coupled with processing of the 3' external transcribed spacer (3' ETS) [Source:SGD;Acc:S000029709]			
ITS2-1_rRNA	ITS2-1		rRNA	-	XII	455182	455413	rRNA	0.3879	232	Non-coding region between RDN58 and RDN25; transcribed as part of the 35S rRNA precursor transcript; forms a stem-loop structure that is required for processing of the precursor transcript [Source:SGD;Acc:S000029716]			
ITS2-2_rRNA	ITS2-2		rRNA	-	XII	464319	464550	rRNA	0.3879	232	Non-coding region between RDN58 and RDN25; transcribed as part of the 35S rRNA precursor transcript; forms a stem-loop structure required for processing of the precursor transcript [Source:SGD;Acc:S000029712]			
LSR1_snRNA	LSR1	LSR1	short_noncoding	-	II	680688	681862	snRNA	0.4085	1175	U2 spliceosomal RNA (U2 snRNA), component of the spliceosome; pairs with the branchpoint sequence; functionally equivalent to mammalian U2 snRNA; stress-induced pseudouridylations at positions 56 and 93 may contribute to regulation of splicing [Source:SGD;Acc:S000006478]			
NME1_snoRNA	NME1	NME1	short_noncoding	+	XIV	585587	585926	snoRNA	0.3912	340	RNA component of RNase MRP; RNase MRP cleaves pre-rRNA and has a role in cell cycle-regulated degradation of daughter cell-specific mRNAs; human ortholog is implicated in cartilage-hair hypoplasia (CHH) [Source:SGD;Acc:S000007436]			
