gene_id	transcript_id	gene_name	type	strand	seqid	biotypes	description	start	end	gc	featWidth	GO BP	GO MF	GO CC
ETS1-1	ETS1-1_rRNA		rRNA	-	XII	rRNA	Non-coding region located immediately upstream of RDN18; transcribed as part of the 35S rRNA precursor transcript; contains an essential U3 snoRNA binding site required for maturation of 18S rRNA [Source:SGD;Acc:S000029717]	457733	458432	0.4186	700			
ETS1-2	ETS1-2_rRNA		rRNA	-	XII	rRNA	Non-coding region located immediately upstream of RDN18; transcribed as part of the 35S rRNA precursor transcript; contains an essential U3 snoRNA binding site required for maturation of 18S rRNA [Source:SGD;Acc:S000029707]	466870	467569	0.4186	700			
ETS2-1	ETS2-1_rRNA		rRNA	-	XII	rRNA	Non-coding region located adjacent to and downstream of RDN25; transcribed as part of the 35S rRNA precursor transcript; contains the primary rRNA transcription termination site at +93 and a secondary termination site between +211 and +250 [Source:SGD;Acc:S000029718]	451575	451785	0.3175	211			
ETS2-2	ETS2-2_rRNA		rRNA	-	XII	rRNA	Non-coding region located adjacent to RDN25; transcribed as part of the 35S rRNA precursor transcript; contains the primary rRNA transcription termination site at +93 and a secondary termination site between +211 and +250 [Source:SGD;Acc:S000029713]	460712	460922	0.3175	211			
HRA1	HRA1_ncRNA		short_noncoding	+	I	ncRNA	Non-protein-coding RNA; substrate of RNase P, possibly involved in rRNA processing, specifically maturation of 20S precursor into the mature 18S rRNA [Source:SGD;Acc:S000119380]	99305	99868	0.422	564			
ICR1	ICR1_ncRNA		short_noncoding	-	IX	ncRNA	Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11, repressing FLO11 transcription in cis [Source:SGD;Acc:S000132612]	393884	397082	0.3886	3199			
IRT1	IRT1_ncRNA		short_noncoding	-	X	ncRNA	Long noncoding RNA that governs mating-type control of gametogenesis; located in the IME1 promoter; in haploids, expression of IME1, the central inducer of gametogenesis, is inhibited in cis by transcription of IRT1, which recruits the Set2p histone methyltransferase and the Set3p histone deacetylase complex to establish repressive chromatin at the IME1 promoter [Source:SGD;Acc:S000178119]	605936	607424	0.3936	1489			
ITS1-1	ITS1-1_rRNA		rRNA	-	XII	rRNA	Non-coding region between RDN58 and RDN18; transcribed as part of the 35S rRNA precursor transcript; excision during transcript maturation is coupled with processing of the 3' external transcribed spacer (3'ETS) [Source:SGD;Acc:S000029715]	455572	455932	0.3601	361			
ITS1-2	ITS1-2_rRNA		rRNA	-	XII	rRNA	Non-coding region between RDN58 and RDN18; transcribed as part of the 35S rRNA precursor transcript; excision during transcript maturation is coupled with processing of the 3' external transcribed spacer (3' ETS) [Source:SGD;Acc:S000029709]	464709	465069	0.3601	361			
ITS2-1	ITS2-1_rRNA		rRNA	-	XII	rRNA	Non-coding region between RDN58 and RDN25; transcribed as part of the 35S rRNA precursor transcript; forms a stem-loop structure that is required for processing of the precursor transcript [Source:SGD;Acc:S000029716]	455182	455413	0.3879	232			
