Identifier	gene_id	seqid	strand	start	end	featWidth	gene_name	gc
YAL069W	YAL069W	I	+	335	649	315	YAL069W	0.4349
YAL068W-A	YAL068W-A	I	+	538	792	255	YAL068W-A	0.3529
YAL068C	YAL068C	I	-	1807	2169	363	PAU8	0.4959
YAL067W-A	YAL067W-A	I	+	2480	2707	228	YAL067W-A	0.4123
YAL067C	YAL067C	I	-	7235	9016	1782	SEO1	0.3608
YAL066W	YAL066W	I	+	10091	10399	309	YAL066W	0.288
YAL065C	YAL065C	I	-	11565	11951	387	YAL065C	0.4419
YAL064W-B	YAL064W-B	I	+	12046	12426	381	YAL064W-B	0.4541
YAL064C-A	YAL064C-A	I	-	13363	13743	381	TDA8	0.4383
YAL064W	YAL064W	I	+	21566	21850	285	YAL064W	0.3684
YAL063C-A	YAL063C-A	I	-	22395	22685	291	YAL063C-A	0.2818
YAL063C	YAL063C	I	-	24000	27968	3969	FLO9	0.4465
YAL062W	YAL062W	I	+	31567	32940	1374	GDH3	0.4869
YAL061W	YAL061W	I	+	33448	34701	1254	BDH2	0.4841
YAL060W	YAL060W	I	+	35155	36303	1149	BDH1	0.45
YAL059C-A	YAL059C-A	I	-	36496	36918	423	YAL059C-A	0.3853
YAL059W	YAL059W	I	+	36509	37147	639	ECM1	0.4038
YAL058W	YAL058W	I	+	37464	38972	1509	CNE1	0.4341
YAL056C-A	YAL056C-A	I	-	38696	39046	351	YAL056C-A	0.4131
YAL056W	YAL056W	I	+	39259	41901	2643	GPB2	0.395
YAL055W	YAL055W	I	+	42177	42719	543	PEX22	0.4236
YAL054C	YAL054C	I	-	42881	45022	2142	ACS1	0.4538
YAL053W	YAL053W	I	+	45899	48250	2352	FLC2	0.4188
YAL051W	YAL051W	I	+	48564	51707	3144	OAF1	0.3731
YAL049C	YAL049C	I	-	51855	52595	741	AIM2	0.4184
YAL048C	YAL048C	I	-	52801	54789	1989	GEM1	0.3992
YAL047W-A	YAL047W-A	I	+	54584	54913	330	YAL047W-A	0.3545
YAL047C	YAL047C	I	-	54989	56857	1869	SPC72	0.3654
YAL046C	YAL046C	I	-	57029	57385	357	AIM1	0.4818
YAL045C	YAL045C	I	-	57488	57796	309	YAL045C	0.4725
YAL044W-A	YAL044W-A	I	+	57518	57850	333	YAL044W-A	0.4715
YAL044C	YAL044C	I	-	57950	58462	513	GCV3	0.4834
YAL043C	YAL043C	I	-	58695	61052	2358	PTA1	0.4601
YAL042C-A	YAL042C-A	I	-	61231	61608	378	YAL042C-A	0.4788
YAL042W	YAL042W	I	+	61316	62563	1248	ERV46	0.496
YAL041W	YAL041W	I	+	62840	65404	2565	CDC24	0.3891
YAL040C	YAL040C	I	-	65778	67520	1743	CLN3	0.4108
YAL039C	YAL039C	I	-	68716	69525	810	CYC3	0.5309
YAL038W	YAL038W	I	+	71786	73288	1503	CDC19	0.4617
YAL037C-B	YAL037C-B	I	-	72326	73300	975	YAL037C-B	0.4626
YAL037C-A	YAL037C-A	I	-	73426	73518	93	YAL037C-A	0.3226
YAL037W	YAL037W	I	+	74020	74823	804	YAL037W	0.3918
YAL036C	YAL036C	I	-	75043	76152	1110	RBG1	0.4369
YAL035W	YAL035W	I	+	76427	79435	3009	FUN12	0.4131
YAL034C-B	YAL034C-B	I	-	79489	79842	354	YAL034C-B	0.3418
YAL034W-A	YAL034W-A	I	+	79718	80587	870	MTW1	0.3851
YAL034C	YAL034C	I	-	80710	81951	1242	FUN19	0.4219
YAL033W	YAL033W	I	+	82706	83227	522	POP5	0.4157
YAL032C	YAL032C	I	-	83335	84474	1140	PRP45	0.4526
YAL031W-A	YAL031W-A	I	+	84669	84977	309	YAL031W-A	0.3981
YAL031C	YAL031C	I	-	84749	87031	2283	GIP4	0.4008
YAL030W	YAL030W	I	+	87286; 87501	87387; 87752	354	SNC1	0.4237
YAL029C	YAL029C	I	-	87855	92270	4416	MYO4	0.3716
YAL028W	YAL028W	I	+	92900	94486	1587	FRT2	0.4253
YAL027W	YAL027W	I	+	94687	95472	786	SAW1	0.3842
YAL026C-A	YAL026C-A	I	-	95386	95823	438	YAL026C-A	0.3333
YAL026C	YAL026C	I	-	95630	99697	4068	DRS2	0.3759
HRA1	HRA1	I	+	99305	99868	564	HRA1	0.422
YAL025C	YAL025C	I	-	100225	101145	921	MAK16	0.4224
YAL024C	YAL024C	I	-	101565	105872	4308	LTE1	0.3707
YAL023C	YAL023C	I	-	106272	108551	2280	PMT2	0.4456
YAL022C	YAL022C	I	-	108877	110430	1554	FUN26	0.4582
YAL021C	YAL021C	I	-	110846	113359	2514	CCR4	0.4566
YAL020C	YAL020C	I	-	113614	114615	1002	ATS1	0.5519
YAL019W-A	YAL019W-A	I	+	114250	114819	570	YAL019W-A	0.514
YAL019W	YAL019W	I	+	114919	118314	3396	FUN30	0.4058
YAL018C	YAL018C	I	-	118564	119541	978	YAL018C	0.3783
YAL017W	YAL017W	I	+	120225	124295	4071	PSK1	0.3888
YAL016C-B	YAL016C-B	I	-	124307	124492	186	YAL016C-B	0.2581
YAL016C-A	YAL016C-A	I	-	124755	125069	315	YAL016C-A	0.4095
YAL016W	YAL016W	I	+	124879	126786	1908	TPD3	0.3826
YAL015C	YAL015C	I	-	126903	128102	1200	NTG1	0.4342
